source,target,sw
38758,38765,8973
38758,38775,8955
38758,38773,8943
38758,27323,8954
38758,38785,8954
38758,38754,8943
38758,38786,8939
38758,38759,8939
38758,27312,8937
38758,38790,8927
38758,38753,8925
38758,38768,8902
38758,25951,8923
38758,38762,8912
38758,38778,8903
38758,27904,8904
38758,38748,8899
38758,38769,8903
38758,27318,8901
38758,38781,8901
38758,38756,8898
38758,17742,8887
38758,27316,8896
38758,14138,8885
38758,14147,8880
38758,14137,8882
38758,2623,8884
38758,31738,8883
38758,27356,8880
38758,27300,8868
38758,27357,8873
38758,27324,8861
38758,14130,8861
38758,14207,8852
38758,14133,8835
38758,14164,8839
38758,38751,8828
38758,14156,8816
38758,14123,8827
38758,14153,8819
38758,13880,8816
38758,14134,8820
38758,13950,8800
38758,27225,8812
38758,27345,8797
38758,14233,8794
38758,27310,8791
38758,14113,8770
38758,14472,8707
38758,14114,8668
38758,14132,8561
38758,38783,8278
38758,27361,8220
38758,14104,8160
38758,14047,7737
38758,14473,7690
38758,38776,7681
38758,27381,7623
38758,14106,7607
38758,27344,7511
38758,27330,7310
38758,27040,7235
38758,14518,7192
38758,27255,7145
38758,27238,6994
38758,14234,6968
38758,14210,6738
38758,14175,6625
38758,27221,6580
38758,14235,6388
38758,14040,6225
38758,14431,6224
38758,27302,6160
38758,14196,6169
38758,14247,6140
38758,27232,6128
38758,27286,6096
38758,27417,6083
38758,14019,6087
38758,14458,6080
38758,13760,6067
38758,14457,6060
38758,13944,6011
38758,27418,5961
38758,14177,5959
38758,14078,5961
38758,27364,5937
38758,14433,5918
38758,14553,5920
38758,26979,5888
38758,14274,5829
38758,14517,5807
38758,27053,5740
38758,14254,5709
38758,27206,5662
38758,14270,5657
38758,27249,5621
38758,27239,5587
38758,14681,5585
38758,14173,5573
38758,13971,5544
38758,27250,5532
38758,13954,5386
38758,27303,5332
38758,14285,5305
38758,14028,5169
38758,14006,5162
38758,27049,4989
38758,14498,4985
38758,27190,4874
38758,27285,4796
38758,14072,4775
38758,14051,4773
38758,14020,4579
38758,13955,4448
38758,27291,4434
38758,27262,4434
38758,27403,4410
38758,14377,4385
38758,14511,4361
38758,27072,4341
38758,27402,4360
38788,38789,9253
38788,38755,9133
38788,38747,9097
38788,38784,9103
38788,38757,9096
38788,38771,9045
38788,38761,9019
38788,38791,9018
38788,38767,8974
38788,38770,8969
38788,38752,8967
38788,13058,8963
38788,38760,8963
38788,38765,8963
38788,38775,8949
38788,38773,8935
38788,27323,8946
38788,38785,8944
38788,38754,8929
38788,38786,8925
38788,38759,8927
38788,27312,8924
38788,38790,8917
38788,38753,8917
38788,38768,8896
38788,25951,8917
38788,38762,8910
38788,38778,8897
38788,27904,8892
38788,38748,8891
38788,38769,8889
38788,27318,8889
38788,38781,8893
38788,38756,8888
38788,17742,8877
38788,27316,8884
38788,14138,8871
38788,14147,8876
38788,14137,8872
38788,2623,8872
38788,31738,8871
38788,27356,8868
38788,27300,8858
38788,27357,8855
38788,27324,8853
38788,14130,8847
38788,14207,8834
38788,14133,8825
38788,14164,8829
38788,38751,8820
38788,14156,8812
38788,14123,8819
38788,14153,8817
38788,13880,8806
38788,14134,8810
38788,13950,8791
38788,27225,8800
38788,27345,8787
38788,14233,8784
38788,27310,8780
38788,14113,8764
38788,14472,8697
38788,14114,8654
38788,14132,8551
38788,38783,8270
38788,27361,8216
38788,14104,8152
38788,14047,7725
38788,14473,7688
38788,38776,7667
38788,27381,7617
38788,14106,7595
38788,27344,7499
38788,27330,7304
38788,27040,7225
38788,14518,7184
38788,27255,7141
38788,27238,6986
38788,14234,6960
38788,14210,6732
38788,14175,6617
38788,27221,6572
38788,14235,6384
38788,14040,6219
38788,14431,6216
38788,27302,6152
38788,14196,6165
38788,14247,6128
38788,27232,6122
38788,27286,6092
38788,27417,6081
38788,14019,6077
38788,14458,6074
38788,13760,6061
38788,14457,6052
38788,13944,6005
38788,27418,5959
38788,14177,5953
38788,14078,5959
38788,27364,5933
38788,14433,5916
38788,14553,5914
38788,26979,5882
38788,14274,5823
38788,14517,5799
38788,27053,5736
38788,14254,5707
38788,27206,5660
38788,14270,5655
38788,27249,5613
38788,27239,5580
38788,14681,5581
38788,14173,5571
38788,13971,5542
38788,27250,5528
38788,13954,5378
38788,27303,5320
38788,14285,5301
38788,14028,5159
38788,14006,5154
38788,27049,4987
38788,14498,4983
38788,27190,4872
38788,27285,4797
38788,14072,4765
38788,14051,4771
38788,14020,4567
38788,13955,4442
38788,27291,4422
38788,27262,4426
38788,27403,4404
38788,14377,4381
38788,14511,4354
38788,27072,4341
38788,27402,4352
38789,38755,9133
38789,38747,9095
38789,38784,9098
38789,38757,9100
38789,38771,9045
38789,38761,9023
38789,38791,9012
38789,38767,8976
38789,38770,8967
38789,38752,8971
38789,13058,8963
38789,38760,8971
38789,38765,8965
38789,38775,8949
38789,38773,8941
38789,27323,8948
38789,38785,8950
38789,38754,8935
38789,38786,8933
38789,38759,8931
38789,27312,8927
38789,38790,8923
38789,38753,8925
38789,38768,8898
38789,25951,8919
38789,38762,8908
38789,38778,8901
38789,27904,8896
38789,38748,8893
38789,38769,8895
38789,27318,8895
38789,38781,8893
38789,38756,8894
38789,17742,8883
38789,27316,8888
38789,14138,8875
38789,14147,8872
38789,14137,8874
38789,2623,8876
38789,31738,8873
38789,27356,8874
38789,27300,8862
38789,27357,8861
38789,27324,8859
38789,14130,8851
38789,14207,8844
38789,14133,8825
38789,14164,8831
38789,38751,8824
38789,14156,8814
38789,14123,8819
38789,14153,8813
38789,13880,8810
38789,14134,8812
38789,13950,8797
38789,27225,8805
38789,27345,8795
38789,14233,8788
38789,27310,8786
38789,14113,8766
38789,14472,8703
38789,14114,8660
38789,14132,8555
38789,38783,8274
38789,27361,8218
38789,14104,8154
38789,14047,7727
38789,14473,7684
38789,38776,7672
38789,27381,7617
38789,14106,7603
38789,27344,7507
38789,27330,7308
38789,27040,7223
38789,14518,7184
38789,27255,7141
38789,27238,6986
38789,14234,6964
38789,14210,6734
38789,14175,6623
38789,27221,6574
38789,14235,6386
38789,14040,6223
38789,14431,6220
38789,27302,6152
38789,14196,6163
38789,14247,6132
38789,27232,6128
38789,27286,6092
38789,27417,6075
38789,14019,6079
38789,14458,6076
38789,13760,6063
38789,14457,6052
38789,13944,6005
38789,27418,5961
38789,14177,5951
38789,14078,5961
38789,27364,5933
38789,14433,5916
38789,14553,5918
38789,26979,5884
38789,14274,5823
38789,14517,5803
38789,27053,5738
38789,14254,5709
38789,27206,5658
38789,14270,5655
38789,27249,5619
38789,27239,5583
38789,14681,5585
38789,14173,5573
38789,13971,5546
38789,27250,5530
38789,13954,5382
38789,27303,5324
38789,14285,5299
38789,14028,5159
38789,14006,5156
38789,27049,4985
38789,14498,4981
38789,27190,4870
38789,27285,4793
38789,14072,4771
38789,14051,4771
38789,14020,4573
38789,13955,4446
38789,27291,4428
38789,27262,4426
38789,27403,4402
38789,14377,4381
38789,14511,4358
38789,27072,4339
38789,27402,4354
38755,38747,9087
38755,38784,9088
38755,38757,9096
38755,38771,9045
38755,38761,9019
38755,38791,9008
38755,38767,8976
38755,38770,8967
38755,38752,8965
38755,13058,8969
38755,38760,8963
38755,38765,8961
38755,38775,8949
38755,38773,8939
38755,27323,8944
38755,38785,8958
38755,38754,8933
38755,38786,8937
38755,38759,8929
38755,27312,8927
38755,38790,8919
38755,38753,8915
38755,38768,8898
38755,25951,8917
38755,38762,8908
38755,38778,8899
38755,27904,8896
38755,38748,8895
38755,38769,8891
38755,27318,8891
38755,38781,8895
38755,38756,8890
38755,17742,8877
38755,27316,8886
38755,14138,8873
38755,14147,8876
38755,14137,8874
38755,2623,8874
38755,31738,8877
38755,27356,8868
38755,27300,8864
38755,27357,8861
38755,27324,8851
38755,14130,8851
38755,14207,8846
38755,14133,8829
38755,14164,8829
38755,38751,8820
38755,14156,8816
38755,14123,8819
38755,14153,8815
38755,13880,8806
38755,14134,8814
38755,13950,8793
38755,27225,8800
38755,27345,8789
38755,14233,8788
38755,27310,8780
38755,14113,8764
38755,14472,8697
38755,14114,8660
38755,14132,8551
38755,38783,8272
38755,27361,8216
38755,14104,8152
38755,14047,7729
38755,14473,7684
38755,38776,7673
38755,27381,7617
38755,14106,7599
38755,27344,7499
38755,27330,7304
38755,27040,7227
38755,14518,7188
38755,27255,7139
38755,27238,6988
38755,14234,6962
38755,14210,6732
38755,14175,6619
38755,27221,6578
38755,14235,6384
38755,14040,6223
38755,14431,6222
38755,27302,6156
38755,14196,6161
38755,14247,6130
38755,27232,6126
38755,27286,6088
38755,27417,6077
38755,14019,6077
38755,14458,6070
38755,13760,6059
38755,14457,6050
38755,13944,6007
38755,27418,5959
38755,14177,5955
38755,14078,5965
38755,27364,5927
38755,14433,5912
38755,14553,5910
38755,26979,5880
38755,14274,5821
38755,14517,5795
38755,27053,5738
38755,14254,5711
38755,27206,5656
38755,14270,5651
38755,27249,5617
38755,27239,5583
38755,14681,5577
38755,14173,5569
38755,13971,5544
38755,27250,5528
38755,13954,5384
38755,27303,5322
38755,14285,5297
38755,14028,5155
38755,14006,5156
38755,27049,4983
38755,14498,4981
38755,27190,4868
38755,27285,4793
38755,14072,4773
38755,14051,4767
38755,14020,4571
38755,13955,4446
38755,27291,4430
38755,27262,4428
38755,27403,4406
38755,14377,4377
38755,14511,4352
38755,27072,4337
38755,27402,4352
38747,38784,9094
38747,38757,9078
38747,38771,9051
38747,38761,9004
38747,38791,9014
38747,38767,8978
38747,38770,8969
38747,38752,8967
38747,13058,8967
38747,38760,8965
38747,38765,8963
38747,38775,8951
38747,38773,8939
38747,27323,8946
38747,38785,8947
38747,38754,8933
38747,38786,8931
38747,38759,8931
38747,27312,8925
38747,38790,8925
38747,38753,8923
38747,38768,8900
38747,25951,8917
38747,38762,8908
38747,38778,8903
38747,27904,8892
38747,38748,8899
38747,38769,8893
38747,27318,8893
38747,38781,8895
38747,38756,8892
38747,17742,8881
38747,27316,8886
38747,14138,8873
38747,14147,8874
38747,14137,8876
38747,2623,8876
38747,31738,8875
38747,27356,8876
38747,27300,8858
38747,27357,8861
38747,27324,8853
38747,14130,8849
38747,14207,8840
38747,14133,8831
38747,14164,8831
38747,38751,8824
38747,14156,8816
38747,14123,8823
38747,14153,8817
38747,13880,8809
38747,14134,8814
38747,13950,8797
38747,27225,8804
38747,27345,8793
38747,14233,8790
38747,27310,8784
38747,14113,8770
38747,14472,8701
38747,14114,8658
38747,14132,8555
38747,38783,8280
38747,27361,8218
38747,14104,8156
38747,14047,7731
38747,14473,7690
38747,38776,7669
38747,27381,7623
38747,14106,7599
38747,27344,7509
38747,27330,7308
38747,27040,7229
38747,14518,7188
38747,27255,7145
38747,27238,6992
38747,14234,6966
38747,14210,6734
38747,14175,6619
38747,27221,6578
38747,14235,6390
38747,14040,6225
38747,14431,6222
38747,27302,6152
38747,14196,6163
38747,14247,6138
38747,27232,6130
38747,27286,6090
38747,27417,6075
38747,14019,6077
38747,14458,6076
38747,13760,6061
38747,14457,6054
38747,13944,6005
38747,27418,5963
38747,14177,5953
38747,14078,5963
38747,27364,5931
38747,14433,5916
38747,14553,5914
38747,26979,5884
38747,14274,5825
38747,14517,5801
38747,27053,5736
38747,14254,5713
38747,27206,5662
38747,14270,5659
38747,27249,5621
38747,27239,5587
38747,14681,5583
38747,14173,5577
38747,13971,5548
38747,27250,5534
38747,13954,5382
38747,27303,5322
38747,14285,5303
38747,14028,5161
38747,14006,5156
38747,27049,4987
38747,14498,4983
38747,27190,4874
38747,27285,4795
38747,14072,4771
38747,14051,4769
38747,14020,4569
38747,13955,4446
38747,27291,4430
38747,27262,4426
38747,27403,4404
38747,14377,4379
38747,14511,4356
38747,27072,4339
38747,27402,4350
38784,38757,9073
38784,38771,9042
38784,38761,8999
38784,38791,9014
38784,38767,8981
38784,38770,8975
38784,38752,8967
38784,13058,8977
38784,38760,8979
38784,38765,8969
38784,38775,8957
38784,38773,8945
38784,27323,8954
38784,38785,8956
38784,38754,8941
38784,38786,8939
38784,38759,8937
38784,27312,8934
38784,38790,8927
38784,38753,8923
38784,38768,8906
38784,25951,8923
38784,38762,8916
38784,38778,8909
38784,27904,8904
38784,38748,8903
38784,38769,8901
38784,27318,8901
38784,38781,8901
38784,38756,8898
38784,17742,8883
38784,27316,8894
38784,14138,8883
38784,14147,8882
38784,14137,8884
38784,2623,8882
38784,31738,8885
38784,27356,8876
38784,27300,8868
38784,27357,8869
38784,27324,8859
38784,14130,8859
38784,14207,8850
38784,14133,8840
38784,14164,8835
38784,38751,8830
38784,14156,8822
38784,14123,8829
38784,14153,8823
38784,13880,8814
38784,14134,8828
38784,13950,8801
38784,27225,8812
38784,27345,8797
38784,14233,8798
38784,27310,8790
38784,14113,8776
38784,14472,8705
38784,14114,8668
38784,14132,8561
38784,38783,8278
38784,27361,8226
38784,14104,8160
38784,14047,7737
38784,14473,7692
38784,38776,7679
38784,27381,7625
38784,14106,7607
38784,27344,7509
38784,27330,7312
38784,27040,7237
38784,14518,7192
38784,27255,7149
38784,27238,6996
38784,14234,6972
38784,14210,6742
38784,14175,6623
38784,27221,6586
38784,14235,6392
38784,14040,6227
38784,14431,6228
38784,27302,6164
38784,14196,6167
38784,14247,6136
38784,27232,6132
38784,27286,6094
38784,27417,6083
38784,14019,6083
38784,14458,6079
38784,13760,6065
38784,14457,6058
38784,13944,6010
38784,27418,5965
38784,14177,5959
38784,14078,5965
38784,27364,5933
38784,14433,5919
38784,14553,5917
38784,26979,5888
38784,14274,5827
38784,14517,5803
38784,27053,5744
38784,14254,5713
38784,27206,5664
38784,14270,5659
38784,27249,5623
38784,27239,5589
38784,14681,5583
38784,14173,5576
38784,13971,5548
38784,27250,5536
38784,13954,5392
38784,27303,5328
38784,14285,5303
38784,14028,5165
38784,14006,5162
38784,27049,4989
38784,14498,4985
38784,27190,4874
38784,27285,4795
38784,14072,4777
38784,14051,4777
38784,14020,4575
38784,13955,4450
38784,27291,4434
38784,27262,4428
38784,27403,4410
38784,14377,4381
38784,14511,4360
38784,27072,4341
38784,27402,4356
38757,38771,9049
38757,38761,9021
38757,38791,9012
38757,38767,8976
38757,38770,8969
38757,38752,8967
38757,13058,8965
38757,38760,8965
38757,38765,8963
38757,38775,8951
38757,38773,8937
38757,27323,8948
38757,38785,8946
38757,38754,8931
38757,38786,8927
38757,38759,8927
38757,27312,8927
38757,38790,8921
38757,38753,8917
38757,38768,8898
38757,25951,8917
38757,38762,8910
38757,38778,8903
38757,27904,8892
38757,38748,8895
38757,38769,8893
38757,27318,8893
38757,38781,8893
38757,38756,8890
38757,17742,8881
38757,27316,8886
38757,14138,8871
38757,14147,8874
38757,14137,8876
38757,2623,8874
38757,31738,8873
38757,27356,8870
38757,27300,8858
38757,27357,8859
38757,27324,8853
38757,14130,8849
38757,14207,8838
38757,14133,8827
38757,14164,8833
38757,38751,8826
38757,14156,8814
38757,14123,8823
38757,14153,8815
38757,13880,8808
38757,14134,8814
38757,13950,8793
38757,27225,8804
38757,27345,8791
38757,14233,8790
38757,27310,8784
38757,14113,8768
38757,14472,8701
38757,14114,8658
38757,14132,8555
38757,38783,8274
38757,27361,8220
38757,14104,8156
38757,14047,7729
38757,14473,7688
38757,38776,7673
38757,27381,7623
38757,14106,7601
38757,27344,7507
38757,27330,7310
38757,27040,7229
38757,14518,7194
38757,27255,7145
38757,27238,6988
38757,14234,6962
38757,14210,6730
38757,14175,6623
38757,27221,6576
38757,14235,6384
38757,14040,6223
38757,14431,6218
38757,27302,6156
38757,14196,6167
38757,14247,6132
38757,27232,6128
38757,27286,6094
38757,27417,6079
38757,14019,6081
38757,14458,6076
38757,13760,6065
38757,14457,6052
38757,13944,6005
38757,27418,5961
38757,14177,5955
38757,14078,5959
38757,27364,5933
38757,14433,5920
38757,14553,5920
38757,26979,5884
38757,14274,5827
38757,14517,5803
38757,27053,5734
38757,14254,5709
38757,27206,5664
38757,14270,5659
38757,27249,5619
38757,27239,5585
38757,14681,5585
38757,14173,5571
38757,13971,5542
38757,27250,5530
38757,13954,5378
38757,27303,5324
38757,14285,5305
38757,14028,5165
38757,14006,5164
38757,27049,4991
38757,14498,4987
38757,27190,4874
38757,27285,4797
38757,14072,4771
38757,14051,4775
38757,14020,4571
38757,13955,4444
38757,27291,4428
38757,27262,4426
38757,27403,4406
38757,14377,4381
38757,14511,4358
38757,27072,4341
38757,27402,4354
38771,38761,9006
38771,38791,9014
38771,38767,8976
38771,38770,8971
38771,38752,8971
38771,13058,8971
38771,38760,8969
38771,38765,8967
38771,38775,8955
38771,38773,8941
38771,27323,8948
38771,38785,8952
38771,38754,8935
38771,38786,8930
38771,38759,8931
38771,27312,8929
38771,38790,8927
38771,38753,8921
38771,38768,8904
38771,25951,8921
38771,38762,8914
38771,38778,8907
38771,27904,8896
38771,38748,8899
38771,38769,8895
38771,27318,8895
38771,38781,8899
38771,38756,8898
38771,17742,8883
38771,27316,8892
38771,14138,8877
38771,14147,8878
38771,14137,8880
38771,2623,8876
38771,31738,8881
38771,27356,8874
38771,27300,8862
38771,27357,8863
38771,27324,8857
38771,14130,8853
38771,14207,8844
38771,14133,8831
38771,14164,8833
38771,38751,8826
38771,14156,8818
38771,14123,8825
38771,14153,8819
38771,13880,8812
38771,14134,8816
38771,13950,8799
38771,27225,8806
38771,27345,8793
38771,14233,8792
38771,27310,8788
38771,14113,8772
38771,14472,8705
38771,14114,8662
38771,14132,8561
38771,38783,8274
38771,27361,8224
38771,14104,8160
38771,14047,7733
38771,14473,7696
38771,38776,7673
38771,27381,7627
38771,14106,7601
38771,27344,7509
38771,27330,7312
38771,27040,7229
38771,14518,7190
38771,27255,7145
38771,27238,6996
38771,14234,6970
38771,14210,6736
38771,14175,6625
38771,27221,6580
38771,14235,6392
38771,14040,6229
38771,14431,6226
38771,27302,6152
38771,14196,6163
38771,14247,6130
38771,27232,6132
38771,27286,6092
38771,27417,6077
38771,14019,6077
38771,14458,6076
38771,13760,6061
38771,14457,6052
38771,13944,6005
38771,27418,5967
38771,14177,5953
38771,14078,5965
38771,27364,5933
38771,14433,5918
38771,14553,5916
38771,26979,5882
38771,14274,5827
38771,14517,5799
38771,27053,5740
38771,14254,5713
38771,27206,5664
38771,14270,5657
38771,27249,5625
38771,27239,5587
38771,14681,5583
38771,14173,5581
38771,13971,5552
38771,27250,5534
38771,13954,5385
38771,27303,5324
38771,14285,5301
38771,14028,5161
38771,14006,5156
38771,27049,4989
38771,14498,4985
38771,27190,4874
38771,27285,4795
38771,14072,4773
38771,14051,4771
38771,14020,4571
38771,13955,4450
38771,27291,4430
38771,27262,4424
38771,27403,4404
38771,14377,4379
38771,14511,4354
38771,27072,4341
38771,27402,4352
38761,38791,9001
38761,38767,8974
38761,38770,8965
38761,38752,8967
38761,13058,8961
38761,38760,8963
38761,38765,8963
38761,38775,8947
38761,38773,8937
38761,27323,8946
38761,38785,8942
38761,38754,8933
38761,38786,8929
38761,38759,8929
38761,27312,8925
38761,38790,8921
38761,38753,8919
38761,38768,8894
38761,25951,8913
38761,38762,8906
38761,38778,8897
38761,27904,8892
38761,38748,8889
38761,38769,8893
38761,27318,8893
38761,38781,8889
38761,38756,8890
38761,17742,8877
38761,27316,8884
38761,14138,8873
38761,14147,8870
38761,14137,8871
38761,2623,8874
38761,31738,8869
38761,27356,8870
38761,27300,8856
38761,27357,8859
38761,27324,8853
38761,14130,8851
38761,14207,8838
38761,14133,8825
38761,14164,8829
38761,38751,8826
38761,14156,8810
38761,14123,8819
38761,14153,8813
38761,13880,8808
38761,14134,8810
38761,13950,8795
38761,27225,8804
38761,27345,8791
38761,14233,8784
38761,27310,8782
38761,14113,8764
38761,14472,8701
38761,14114,8658
38761,14132,8553
38761,38783,8270
38761,27361,8216
38761,14104,8151
38761,14047,7723
38761,14473,7682
38761,38776,7671
38761,27381,7615
38761,14106,7599
38761,27344,7501
38761,27330,7304
38761,27040,7225
38761,14518,7186
38761,27255,7137
38761,27238,6986
38761,14234,6958
38761,14210,6732
38761,14175,6621
38761,27221,6572
38761,14235,6384
38761,14040,6221
38761,14431,6220
38761,27302,6150
38761,14196,6165
38761,14247,6132
38761,27232,6128
38761,27286,6090
38761,27417,6075
38761,14019,6079
38761,14458,6074
38761,13760,6063
38761,14457,6052
38761,13944,6001
38761,27418,5959
38761,14177,5951
38761,14078,5961
38761,27364,5935
38761,14433,5914
38761,14553,5916
38761,26979,5882
38761,14274,5825
38761,14517,5803
38761,27053,5736
38761,14254,5707
38761,27206,5660
38761,14270,5653
38761,27249,5617
38761,27239,5581
38761,14681,5584
38761,14173,5571
38761,13971,5542
38761,27250,5528
38761,13954,5380
38761,27303,5324
38761,14285,5298
38761,14028,5155
38761,14006,5150
38761,27049,4983
38761,14498,4979
38761,27190,4872
38761,27285,4791
38761,14072,4771
38761,14051,4767
38761,14020,4569
38761,13955,4446
38761,27291,4428
38761,27262,4424
38761,27403,4400
38761,14377,4379
38761,14511,4356
38761,27072,4335
38761,27402,4350
38791,38767,8982
38791,38770,8973
38791,38752,8971
38791,13058,8969
38791,38760,8971
38791,38765,8967
38791,38775,8955
38791,38773,8945
38791,27323,8950
38791,38785,8950
38791,38754,8937
38791,38786,8933
38791,38759,8933
38791,27312,8930
38791,38790,8923
38791,38753,8923
38791,38768,8904
38791,25951,8923
38791,38762,8916
38791,38778,8905
38791,27904,8900
38791,38748,8901
38791,38769,8897
38791,27318,8897
38791,38781,8903
38791,38756,8898
38791,17742,8885
38791,27316,8892
38791,14138,8881
38791,14147,8880
38791,14137,8882
38791,2623,8880
38791,31738,8881
38791,27356,8876
38791,27300,8864
38791,27357,8867
38791,27324,8859
38791,14130,8855
38791,14207,8844
38791,14133,8835
38791,14164,8835
38791,38751,8828
38791,14156,8820
38791,14123,8827
38791,14153,8821
38791,13880,8816
38791,14134,8818
38791,13950,8799
38791,27225,8808
38791,27345,8795
38791,14233,8796
38791,27310,8788
38791,14113,8774
38791,14472,8707
38791,14114,8662
38791,14132,8559
38791,38783,8274
38791,27361,8224
38791,14104,8164
38791,14047,7731
38791,14473,7690
38791,38776,7675
38791,27381,7623
38791,14106,7601
38791,27344,7507
38791,27330,7310
38791,27040,7229
38791,14518,7190
38791,27255,7145
38791,27238,6990
38791,14234,6966
38791,14210,6738
38791,14175,6621
38791,27221,6582
38791,14235,6392
38791,14040,6227
38791,14431,6224
38791,27302,6154
38791,14196,6167
38791,14247,6132
38791,27232,6132
38791,27286,6096
38791,27417,6079
38791,14019,6079
38791,14458,6076
38791,13760,6063
38791,14457,6052
38791,13944,6009
38791,27418,5965
38791,14177,5955
38791,14078,5965
